Image,Class,Method,Deletion AUC,Insertion AUC
63,churros,Score-CAM,0.15153890205081555,0.7919246160425246
63,churros,Ablation-CAM,0.14961695475038142,0.7890814092196523
64,churros,Grad-CAM,0.20669990688562395,0.9082862993609161
64,churros,Grad-CAM++,0.22197822433896366,0.9085659175366163
64,churros,Score-CAM,0.21012967911548908,0.9123640657030045
64,churros,Ablation-CAM,0.21383154827170076,0.909808588186279
65,churros,Grad-CAM,0.01760583506547846,0.5896632773638703
65,churros,Grad-CAM++,0.015112741956327226,0.4450867735315115
65,churros,Score-CAM,0.019813771656044993,0.4600629378203302
65,churros,Ablation-CAM,0.017663290323980622,0.4958598923007958
66,churros,Grad-CAM,0.1446561883809045,0.6507993041072042
66,churros,Grad-CAM++,0.19834902055561543,0.6340343052893876
66,churros,Score-CAM,0.13667053608223795,0.7351241352502257
66,churros,Ablation-CAM,0.16057435964234174,0.6383326434530318
67,churros,Grad-CAM,0.06775479771662506,0.840377833303064
67,churros,Grad-CAM++,0.07564117600675674,0.8417247046902776
67,churros,Score-CAM,0.054683075486682366,0.849336413796991
67,churros,Ablation-CAM,0.08197145948186517,0.8403042575623839
68,churros,Grad-CAM,0.26831667066551745,0.7525134978722781
68,churros,Grad-CAM++,0.26410953189712016,0.7626031652465464
68,churros,Score-CAM,0.28023186306934805,0.7590871064551175
68,churros,Ablation-CAM,0.27349691038951285,0.7600572974886745
69,churros,Grad-CAM,0.2550521476007998,0.8838813293725252
69,churros,Grad-CAM++,0.2396116545284167,0.8770418983697893
69,churros,Score-CAM,0.23795256495010111,0.8844711346179248
69,churros,Ablation-CAM,0.24182035856880246,0.8807980204001067
70,churros,Grad-CAM,0.14356953382026405,0.8328713731002063
70,churros,Grad-CAM++,0.18059067111462357,0.8129860618244856
70,churros,Score-CAM,0.12828778967726975,0.8327228009887041
70,churros,Ablation-CAM,0.17825353441759947,0.8157495484687388
71,churros,Grad-CAM,0.212330712066032,0.8755616200808435
71,churros,Grad-CAM++,0.2801325393561274,0.8336163412220775
71,churros,Score-CAM,0.26382350708357993,0.8869259334355591
71,churros,Ablation-CAM,0.248593545644544,0.8727489638701081
72,churros,Grad-CAM,0.17170160822104663,0.26730033156462013
72,churros,Grad-CAM++,0.17916708689182997,0.26041279555298386
72,churros,Score-CAM,0.1664131377451122,0.251699284017086
72,churros,Ablation-CAM,0.1663259550975636,0.2578596213366836
73,churros,Grad-CAM,0.09465994461905211,0.6476426835637539
73,churros,Grad-CAM++,0.15608927862253041,0.5495641251653433
73,churros,Score-CAM,0.14780040989629928,0.5196471347659826
73,churros,Ablation-CAM,0.12047078071162104,0.5814951566234231
74,churros,Grad-CAM,0.24204948742408305,0.839140986641869
74,churros,Grad-CAM++,0.249929124568589,0.833443400617689
